type,budget,lieu,camera,objectif,lumieres,prix_estime
court-métrage,low,intérieur,Canon M50,Kit 18-55mm,Neewer LED Panel,2480
pub,low,studio,Panasonic G7,Yongnuo 35mm f/2,Andoer 660 LED,3166
pub,low,intérieur,Sony A6400,Canon 50mm f/1.8,GVM LED RGB,2331
court-métrage,low,intérieur,Blackmagic Pocket Cinema Camera HD,Sigma 16mm f/1.4,GVM LED RGB,3385
clip,medium,studio,Canon R6,Canon RF 24-70mm,SmallRig RC120B,5069
clip,high,extérieur,Canon C70,Leica Summilux-C 29mm,Aputure 300x,55670
court-métrage,medium,intérieur,Fujifilm X-H2,Canon RF 24-70mm,Aputure AL-MC RGB,6941
court-métrage,high,intérieur,Canon C70,Canon L 24-70mm f/2.8,Aputure 300x,447194
pub,medium,extérieur,Canon R6,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,6072
clip,medium,intérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Godox SL60W,9073
clip,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,161758
interview,medium,intérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Aputure AL-MC RGB,8774
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Aputure 300x,66839
interview,low,intérieur,Fujifilm X-T200,Yongnuo 35mm f/2,Softbox 135W,1792
court-métrage,medium,studio,Sony A7 IV,Sigma 30mm f/1.4,SmallRig RC120B,9744
court-métrage,high,intérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,ARRI SkyPanel S60,491465
interview,high,intérieur,Sony VENICE,Canon CN-E 85mm T1.3,Aputure 300x,390426
interview,medium,intérieur,Fujifilm X-H2,Tokina 11-20mm f/2.8,FalconEyes RX-18T,6728
documentaire,high,extérieur,Canon C70,Leica Summilux-C 29mm,ARRI SkyPanel S60,440417
court-métrage,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Godox SL60W,4631
pub,medium,intérieur,Sony FX30,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,9275
documentaire,high,intérieur,Canon C70,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,182326
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Nanlite Forza 300,94595
pub,medium,intérieur,Sony A7 IV,Tamron 28-75mm,Godox SL60W,5040
pub,low,intérieur,Nikon Z30,Meike 25mm T2.2,Ring Light,3117
court-métrage,low,studio,Canon M50,Canon 50mm f/1.8,GVM LED RGB,2426
court-métrage,high,studio,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Nanlite Forza 300,463069
clip,low,studio,Canon M50,Canon 50mm f/1.8,Ulanzi VL49,3750
pub,low,intérieur,Panasonic G7,Viltrox 23mm f/1.4,Softbox 135W,3249
documentaire,low,studio,Canon M50,Sigma 16mm f/1.4,Ulanzi VL49,3290
pub,low,extérieur,Panasonic G7,Viltrox 23mm f/1.4,Neewer LED Panel,2327
interview,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,SmallRig RC120B,6929
pub,medium,studio,Nikon Z6 II,Canon RF 24-70mm,Nanlite PavoTube 6C,9436
interview,high,studio,RED Komodo,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,269711
interview,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,GVM LED RGB,3132
interview,low,extérieur,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Neewer LED Panel,1908
interview,medium,extérieur,Panasonic GH6,Tamron 28-75mm,Aputure AL-MC RGB,5815
documentaire,low,extérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Softbox 135W,3721
interview,high,studio,ARRI Alexa Mini,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,229270
clip,medium,intérieur,Sony A7 IV,Sigma 24-70mm f/2.8,Aputure Amaran 100x,9584
clip,high,extérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,130801
documentaire,medium,extérieur,Canon R6,Tamron 28-75mm,Aputure AL-MC RGB,5864
pub,low,intérieur,Panasonic G7,Sigma 16mm f/1.4,Ring Light,3181
clip,high,studio,Sony FX6,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,441757
clip,low,studio,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,Ulanzi VL49,3162
clip,high,extérieur,RED Komodo,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,287811
interview,high,studio,Sony FX6,Canon CN-E 85mm T1.3,Aputure 300x,260652
pub,high,studio,RED Komodo,ARRI Signature Prime 35mm,Astera Titan Tube,125083
interview,medium,extérieur,Sony A7 IV,Canon RF 24-70mm,Godox SL60W,5942
clip,low,extérieur,Sony A6400,Meike 25mm T2.2,Andoer 660 LED,3812
documentaire,medium,intérieur,Sony FX30,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,5197
documentaire,medium,studio,Canon R6,Canon RF 24-70mm,Aputure Amaran 100x,7520
court-métrage,high,extérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,22865
clip,high,extérieur,Sony FX6,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,137344
court-métrage,medium,extérieur,Sony FX30,Tokina 11-20mm f/2.8,SmallRig RC120B,8883
pub,low,studio,Canon M50,Sigma 16mm f/1.4,Ring Light,3925
documentaire,low,extérieur,Panasonic G7,Canon 50mm f/1.8,Neewer LED Panel,2666
documentaire,medium,studio,Canon R6,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,4840
clip,high,extérieur,RED Komodo,Canon CN-E 85mm T1.3,Aputure 300x,231874
documentaire,medium,studio,Sony A7 IV,Sigma 30mm f/1.4,Nanlite PavoTube 6C,7198
documentaire,low,intérieur,Nikon Z30,Viltrox 23mm f/1.4,Softbox 135W,2970
interview,medium,intérieur,Blackmagic Pocket 4K,Tamron 28-75mm,Aputure AL-MC RGB,9568
documentaire,medium,extérieur,Panasonic GH6,Tamron 28-75mm,FalconEyes RX-18T,6185
pub,low,intérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Neewer LED Panel,2601
interview,medium,intérieur,Canon R6,Sony 18-105mm f/4 G,Aputure Amaran 100x,4929
documentaire,medium,intérieur,Fujifilm X-H2,Canon RF 24-70mm,Godox SL60W,5637
clip,medium,intérieur,Panasonic GH6,Tamron 28-75mm,Godox SL60W,8429
interview,medium,extérieur,Panasonic GH6,Tokina 11-20mm f/2.8,Godox SL60W,7046
court-métrage,high,extérieur,Sony VENICE,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,80793
interview,medium,extérieur,Panasonic GH6,Sigma 30mm f/1.4,Aputure AL-MC RGB,9094
pub,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Aputure 300x,320759
interview,low,intérieur,Sony A6400,Sigma 16mm f/1.4,Ulanzi VL49,1899
clip,medium,studio,Sony A7 IV,Sony 18-105mm f/4 G,SmallRig RC120B,7053
clip,low,extérieur,Canon M50,Kit 18-55mm,Ulanzi VL49,2433
documentaire,high,studio,RED Komodo,Leica Summilux-C 29mm,Nanlite Forza 300,185881
interview,medium,intérieur,Nikon Z6 II,Canon RF 24-70mm,Nanlite PavoTube 6C,6797
pub,medium,studio,Fujifilm X-H2,Sigma 30mm f/1.4,Nanlite PavoTube 6C,7700
court-métrage,medium,intérieur,Sony FX30,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6230
court-métrage,low,extérieur,Fujifilm X-T200,Canon 50mm f/1.8,Neewer LED Panel,1779
interview,high,studio,Sony FX6,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,225404
clip,high,studio,Sony VENICE,ARRI Signature Prime 35mm,Nanlite Forza 300,382593
documentaire,medium,studio,Canon R6,Tamron 28-75mm,FalconEyes RX-18T,4946
interview,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Aputure AL-MC RGB,9658
documentaire,medium,intérieur,Canon R6,Sigma 30mm f/1.4,Godox SL60W,4967
documentaire,high,studio,Canon C70,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,311714
interview,low,intérieur,Fujifilm X-T200,Yongnuo 35mm f/2,Ulanzi VL49,3468
interview,high,studio,Canon C70,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,420579
interview,medium,studio,Fujifilm X-H2,Sigma 30mm f/1.4,Aputure Amaran 100x,6521
pub,medium,intérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Aputure AL-MC RGB,7358
pub,low,intérieur,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,Ring Light,3754
clip,low,studio,Nikon Z30,Yongnuo 35mm f/2,Neewer LED Panel,2711
court-métrage,low,extérieur,Canon M50,Canon 50mm f/1.8,Softbox 135W,3604
court-métrage,high,extérieur,Sony VENICE,ARRI Signature Prime 35mm,Creamsource Vortex8,289720
interview,medium,extérieur,Fujifilm X-H2,Canon RF 24-70mm,FalconEyes RX-18T,9792
documentaire,medium,extérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Aputure Amaran 100x,6068
clip,medium,studio,Panasonic GH6,Sigma 24-70mm f/2.8,Godox SL60W,6783
clip,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Astera Titan Tube,451042
court-métrage,medium,intérieur,Nikon Z6 II,Sigma 30mm f/1.4,SmallRig RC120B,8184
interview,medium,intérieur,Sony FX30,Canon RF 24-70mm,Nanlite PavoTube 6C,6377
interview,medium,intérieur,Sony FX30,Sigma 24-70mm f/2.8,FalconEyes RX-18T,9286
pub,low,studio,Sony A6400,Sigma 16mm f/1.4,Neewer LED Panel,1924
court-métrage,medium,studio,Sony A7 IV,Tamron 28-75mm,SmallRig RC120B,9550
interview,high,intérieur,Sony FX6,Canon CN-E 85mm T1.3,Nanlite Forza 300,80195
pub,medium,studio,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,FalconEyes RX-18T,5595
clip,low,studio,Fujifilm X-T200,Meike 25mm T2.2,Ring Light,2316
documentaire,medium,studio,Canon R6,Sigma 30mm f/1.4,Nanlite PavoTube 6C,9113
pub,medium,extérieur,Nikon Z6 II,Canon RF 24-70mm,Godox SL60W,7145
clip,medium,extérieur,Panasonic GH6,Canon RF 24-70mm,SmallRig RC120B,9046
pub,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,FalconEyes RX-18T,7293
clip,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Creamsource Vortex8,189820
court-métrage,medium,extérieur,Sony A7 IV,Sigma 30mm f/1.4,Aputure Amaran 100x,6160
court-métrage,high,studio,RED Komodo,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,347058
court-métrage,high,studio,Canon C70,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,147851
clip,medium,intérieur,Sony FX30,Canon RF 24-70mm,FalconEyes RX-18T,9401
clip,low,studio,Panasonic G7,Kit 18-55mm,Andoer 660 LED,3325
interview,low,studio,Canon M50,Sigma 16mm f/1.4,Neewer LED Panel,3391
documentaire,low,intérieur,Panasonic G7,Yongnuo 35mm f/2,Ring Light,1875
documentaire,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Neewer LED Panel,2749
pub,low,intérieur,Nikon Z30,Yongnuo 35mm f/2,Softbox 135W,1568
court-métrage,medium,intérieur,Nikon Z6 II,Canon RF 24-70mm,Aputure AL-MC RGB,9359
clip,high,extérieur,Canon C70,Leica Summilux-C 29mm,ARRI SkyPanel S60,300004
clip,high,studio,Sony VENICE,Leica Summilux-C 29mm,Creamsource Vortex8,270575
court-métrage,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Creamsource Vortex8,252750
clip,high,extérieur,Sony VENICE,Leica Summilux-C 29mm,Astera Titan Tube,268020
interview,medium,extérieur,Fujifilm X-H2,Sigma 24-70mm f/2.8,FalconEyes RX-18T,9521
pub,medium,studio,Sony FX30,Tokina 11-20mm f/2.8,SmallRig RC120B,5161
